高清直播,#genre#
CCTV-1综合,http://hdtv.lzu6.edu.cn/hls/cctv1hd.m3u8
CCTV-2财经,http://hdtv.lzu6.edu.cn/hls/cctv2hd.m3u8
CCTV-3综艺,http://hdtv.lzu6.edu.cn/hls/cctv3hd.m3u8
CCTV-4中文国际,http://hdtv.lzu6.edu.cn/hls/cctv4hd.m3u8
CCTV-5体育,http://hdtv.lzu6.edu.cn/hls/cctv5hd.m3u8
CCTV-5+体育赛事,http://hdtv.lzu6.edu.cn/hls/cctv5phd.m3u8
CCTV-6电影,http://hdtv.lzu6.edu.cn/hls/cctv6hd.m3u8
CCTV-7国防军事,http://hdtv.lzu6.edu.cn/hls/cctv7hd.m3u8
CCTV-8电视剧,http://hdtv.lzu6.edu.cn/hls/cctv8hd.m3u8
CCTV-9纪录,http://hdtv.lzu6.edu.cn/hls/cctv9hd.m3u8
CCTV-10科教,http://hdtv.lzu6.edu.cn/hls/cctv10hd.m3u8
CCTV-11戏曲,http://hdtv.lzu6.edu.cn/hls/jlu_cctv11hd.m3u8
CCTV-12社会与法,http://hdtv.lzu6.edu.cn/hls/jlu_cctv12hd.m3u8
CCTV-13新闻,http://hdtv.lzu6.edu.cn/hls/cctv13hd.m3u8
CCTV-14少儿,http://hdtv.lzu6.edu.cn/hls/cctv14hd.m3u8
CCTV-15音乐,http://hdtv.lzu6.edu.cn/hls/jlu_cctv15hd.m3u8
CCTV-17农业农村,http://hdtv.lzu6.edu.cn/hls/cctv17hd.m3u8
北京卫视,http://hdtv.lzu6.edu.cn/hls/btv1hd.m3u8
湖南卫视,http://hdtv.lzu6.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://hdtv.lzu6.edu.cn/hls/jlu_zjhd.m3u8
东方卫视,http://hdtv.lzu6.edu.cn/hls/dfhd.m3u8
江苏卫视,http://hdtv.lzu6.edu.cn/hls/jlu_jshd.m3u8
安徽卫视,http://hdtv.lzu6.edu.cn/hls/ahhd.m3u8
天津卫视,http://hdtv.lzu6.edu.cn/hls/tjhd.m3u8
辽宁卫视,http://hdtv.lzu6.edu.cn/hls/jlu_lnhd.m3u8
